Net	Length
GND	0.00
/S9R	2237.40
/S9D	30.64
/S8R	2246.86
/S8D	32.05
/S7R	2256.33
/S7D	36.24
/S6R	2265.80
/S6D	40.43
/S5R	2275.26
/S5D	50.32
/S4R	2284.73
/S4D	60.44
/S48R	1755.74
/S48D	340.95
/S47R	1769.49
/S47D	327.22
/S46R	1781.90
/S46D	313.38
/S45R	1794.23
/S45D	300.29
/S44R	1806.51
/S44D	285.26
/S43R	1818.71
/S43D	275.40
/S42R	1830.86
/S42D	265.03
/S41R	1842.93
/S41D	254.91
/S40R	1854.49
/S40D	244.80
/S3R	2294.20
/S3D	70.55
/S39R	1868.03
/S39D	234.68
/S38R	1877.50
/S38D	224.56
/S37R	1886.96
/S37D	214.58
/S36R	1896.43
/S36D	204.33
/S35R	1905.90
/S35D	194.22
/S34R	1915.37
/S34D	184.11
/S33R	1924.83
/S33D	173.99
/S32R	1976.98
/S32D	206.55
/S31R	1986.45
/S31D	196.44
/S30R	1995.91
/S30D	186.32
/S2R	2303.66
/S2D	80.67
/S29R	2005.38
/S29D	176.20
/S28R	2014.85
/S28D	166.09
/S27R	2024.31
/S27D	155.97
/S26R	2033.78
/S26D	145.86
/S25R	2043.25
/S25D	135.74
/S24R	2052.71
/S24D	125.63
/S23R	2062.18
/S23D	115.51
/S22R	2071.65
/S22D	105.40
/S21R	2081.11
/S21D	95.28
/S20R	2090.58
/S20D	85.16
/S1R	2313.13
/S1D	90.78
/S19R	2100.05
/S19D	75.05
/S18R	2109.51
/S18D	64.93
/S17R	2118.98
/S17D	54.82
/S16R	2171.12
/S16D	87.38
/S15R	2180.60
/S15D	77.27
/S14R	2190.06
/S14D	67.15
/S13R	2199.53
/S13D	57.04
/S12R	2209.00
/S12D	46.92
/S11R	2218.46
/S11D	39.02
/S10R	2227.93
/S10D	34.83
